186	Serial Packet	↑ IRP_MJ_READ: 211 bytes	0x00000000	216	Serial	2023-03-20 19:47:35,2184767	unknown (0)
186	Direction	"Up"	0x00000000	0	$print instruction	2023-03-20 19:47:35,2184767	unknown (0)
186	Type	IRP_MJ_READ (3)	0x00000001	4	IrpMJFunction	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload	{ Payload={ 0, 6, 1, 81, 183… } }	0x00000005	211	SerialPayload	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload	{ 0, 6, 1, 81, 183… }	0x00000005	211	unsigned char[211]	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[0]	0	0x00000005	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[1]	6	0x00000006	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[2]	1	0x00000007	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[3]	81	0x00000008	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[4]	183	0x00000009	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[5]	83	0x0000000a	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[6]	239	0x0000000b	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[7]	251	0x0000000c	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[8]	0	0x0000000d	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[9]	6	0x0000000e	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[10]	1	0x0000000f	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[11]	85	0x00000010	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[12]	44	0x00000011	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[13]	137	0x00000012	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[14]	68	0x00000013	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[15]	145	0x00000014	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[16]	0	0x00000015	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[17]	6	0x00000016	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[18]	1	0x00000017	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[19]	93	0x00000018	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[20]	84	0x00000019	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[21]	137	0x0000001a	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[22]	231	0x0000001b	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[23]	83	0x0000001c	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[24]	0	0x0000001d	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[25]	6	0x0000001e	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[26]	1	0x0000001f	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[27]	95	0x00000020	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[28]	35	0x00000021	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[29]	5	0x00000022	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[30]	96	0x00000023	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[31]	198	0x00000024	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[32]	0	0x00000025	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[33]	16	0x00000026	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[34]	0	0x00000027	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[35]	190	0x00000028	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[36]	0	0x00000029	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[37]	85	0x0000002a	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[38]	170	0x0000002b	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[39]	0	0x0000002c	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[40]	200	0x0000002d	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[41]	0	0x0000002e	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[42]	2	0x0000002f	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[43]	3	0x00000030	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[44]	217	0x00000031	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
186	Payload[45]	0	0x00000032	1	unsigned char	2023-03-20 19:47:35,2184767	unknown (0)
